source_id,title,institution,pub_date,url,tier,notes
S-01,"Reports and Statistics",Bureau of Emigration & Overseas Employment (BEOE),n/a,https://beoe.gov.pk/reports-and-statistics,1,"Primary source for nearly all emigration figures in this brief. Returned HTTP 403 on direct fetch - could not be independently opened. All BEOE-attributed claims in the ledger rest on secondary reporting instead."
S-02,"Skilled professionals leaving Pakistan in record numbers in search of stability, dignity and opportunity",newkerala.com / syndicated wire,2026-01,https://www.newkerala.com/news/a/skilled-professionals-leaving-pakistan-record-numbers-search-stability-752.htm,5,"Seen via WebSearch summary only, not directly fetched."
S-03,"Over 762,000 Pakistanis go abroad for Jobs in 2025, shows latest migration report",Pakistan Observer,2026,https://pakobserver.net/over-762000-pakistanis-go-abroad-for-jobs-in-2025-shows-latest-migration-report/,4,"Seen via WebSearch summary only."
S-04,"Over 762,000 Pakistanis go abroad for employment in 2025, including 18,352 highly educated professionals",Minute Mirror,2026,https://minutemirror.com.pk/over-762000-pakistanis-go-abroad-for-employment-in-2025-including-18352-highly-educated-professionals-488840/,5,"Seen via WebSearch summary only."
S-05,"317,000 Pakistanis Left for Jobs Abroad in H1 2026",TechJuice,2026,https://www.techjuice.pk/317000-pakistanis-overseas-jobs-h1-2026-doctors-engineers-it-exodus/,5,"Seen via WebSearch summary only. Primary source for the occupation-specific 2024/2025 doctor/engineer/accountant breakdown."
S-06,"Doctors, engineers, labourers among thousands of Pakistanis going abroad for jobs",Pakistan Today,2025-04-15,https://www.pakistantoday.com.pk/2025/04/15/doctors-engineers-labourers-among-thousands-of-pakistanis-going-abroad-for-jobs/,4,"Seen via WebSearch summary only."
S-07,"5,000 doctors, 11,000 engineers left Pakistan in 2 years, undercutting Asim Munir's 'brain gain' claim",The Tribune (India) / ThePrint / NewsKarnataka (syndicated),2025-12,https://www.tribuneindia.com/news/pakistan/5000-doctors-11000-engineers-left-pakistan-in-2-years-undercutting-asim-munirs-brain-gain-claim/,5,"Indian press reporting on a Pakistani political controversy; seen via WebSearch summary only. Political framing (army chief's 'brain gain' remark) should be treated as context, not evidence, if referenced at all."
S-08,"Trends, Patterns, and Policies Regarding Highly Skilled Migrant Workers from Pakistan to Saudi Arabia, Qatar and the UAE (KAS Policy Report No. 6)",Gulf Research Center (GRC) / Konrad-Adenauer-Stiftung (KAS); authors Nasra M. Shah and Memoona Qazi,2025,https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,3,"DIRECTLY READ in full (8 pages). The single most valuable source for this brief - academic policy brief built on BEOE administrative data, with explicit methodology and caveats about BEOE's undercount. Treated as VERIFIED-tier for what the brief itself states, though the underlying BEOE data was not independently re-opened."
S-09,"Pakistan: International Mobility (draft report on labor migration governance)",World Bank,~2018 (data through FY2015-16),https://documents1.worldbank.org/curated/en/540841530861637430/pdf/Pakistan-International-Mobility-Draft-06.pdf,1,"DIRECTLY READ (~10 pages of a longer document). Multilateral primary source, but data and analysis are dated (FY2015-16) - used only for institutional/governance background (Emigration Ordinance 1979, BEOE's role, migration risk framework), not for current figures."
S-10,"Brain drain in Pakistan: causes, consequences and way forward",Pakistan Institute of Development Economics (PIDE); author Henna Ahsan,2024-10-01,https://file.pide.org.pk/pdfpideinpress/pip-brain-drain-in-pakistan-causes-consequences-and-way-forward.pdf,1,"DIRECTLY READ in full (4 pages). Source of the $303.4 billion 2023 productivity-loss figure (attributed to Khan and Ahmad 2024, not independently accessed) and of graduate-unemployment/survey push-factor figures."
S-11,"Pakistan's brain drain costs economy $4.2 billion annually despite growing remittances: report",Profit by Pakistan Today,2025-07-28,https://profit.pakistantoday.com.pk/2025/07/28/pakistans-brain-drain-costs-economy-4-2-billion-annually-despite-growing-remittances-report/,4,"Returned HTTP 403 on direct fetch. Seen via WebSearch summary only. Original source of the $4.2bn/$4.8bn/$25,000-per-doctor figures as reported in Pakistani press, attributed to PIDE."
S-12,"Brain drain costs economy $4.2 billion annually",The Express Tribune,2025-07,https://tribune.com.pk/story/2558228/brain-drain-costs-economy-42-billion-annually,4,"Returned HTTP 403 on direct fetch. Seen via WebSearch summary only. Same underlying PIDE-linked figures as S-11."
S-13,"Brain drain costs Pakistan $4.2 billion every year",Daily Times,2025-07,https://dailytimes.com.pk/1344006/brain-drain-costs-pakistan-4-2-billion-every-year/,5,"Returned HTTP 403 on direct fetch. Seen via WebSearch summary only."
S-14,"How Brain Drain is Costing Pakistan's Future?",Stratheia,2025,https://stratheia.com/how-brain-drain-is-costing-pakistans-future/,5,"Returned HTTP 403 on direct fetch. Seen via WebSearch summary only. Think-tank/commentary site, not a primary research body."
S-15,"Brain drain: A national crisis in slow motion",GIDS (Gallup/CIMRAD-linked research site),2025,https://www.gids.org.pk/brain-drain-a-national-crisis-in-slow-motion/,4,"DIRECTLY FETCHED and read. Notably did NOT cite the $4.2bn/$25,000 figures at all, and gave different occupation-specific numbers (2,500 doctors, 5,500 engineers, 6,500 accountants for 2023) than the BEOE-lineage figures used elsewhere in this brief - a discrepancy not fully reconciled; not used as a primary figure source in the brief for that reason, kept for context only."
S-16,"FY26: Record USD41.6bn home remittances received",Business Recorder,2026,https://www.brecorder.com/news/40429381/fy26-record-usd416bn-home-remittances-received,4,"Seen via WebSearch summary only (not directly fetched)."
S-17,"Overseas Pakistanis send $41.6bn in FY26 as SBP ends incentive schemes",Business Recorder,2026,https://www.brecorder.com/news/40429234/overseas-pakistanis-send-416bn-in-fy26-as-sbp-ends-incentive-schemes,4,"Seen via WebSearch summary only."
S-18,"Saudi Arabia, UAE Fuel Record $41.6 Billion Pakistan Remittances in FY2025-26",Gulf News,2026,https://gulfnews.com/world/asia/pakistan/saudi-arabia-uae-drive-pakistan-remittances-to-record-416bn-1.500602356,5,"Seen via WebSearch summary only. Source of the FY2025-26 country-by-country remittance breakdown."
S-19,"FY26 remittances hit $41.6bn, showing 8.6% yearly growth",The News,2026,https://www.thenews.pk/story/1424957-fy26-remittances-hit-416bn-showing-86-yearly-growth,4,"Seen via WebSearch summary only."
S-20,"Pakistan achieves $41.6 billion in remittances for fy26",Pakistan & Gulf Economist,2026-07-13,https://www.pakistangulfeconomist.com/2026/07/13/pakistan-achieves-41-6-billion-in-remittances-for-fy26,5,"Seen via WebSearch summary only."
S-21,"Saudi Arabia leads as Pakistan records highest-ever monthly remittance inflow",Arab News PK,2026,https://www.arabnews.pk/node/2646617/pakistan,5,"Seen via WebSearch summary only. Source of the May 2026 record-month figure and June 2026 monthly country breakdown."
S-22,"Home Remittances data",State Bank of Pakistan (SBP),n/a,https://www.sbp.org.pk/ecodata/Homeremittances.pdf,1,"Primary source for all remittance figures. Returned HTTP 403 on direct fetch - could not be independently opened. This is the most important single gap in this research pass; recommend a renewed access attempt before recording."
S-23,"Remittances expose Gulf dependency",The Express Tribune,~2025-2026,https://tribune.com.pk/story/2607597/remittances-expose-gulf-dependency,4,"Returned HTTP 403 on direct fetch. Seen via WebSearch summary only. Source of the per-capita UK-vs-Gulf remittance comparison that is central to the counterargument section - flagged as highest-priority to re-verify before scripting."
S-24,"Pakistan's Workforce in the Gulf: 50 Years of Migration in Numbers (2026)",PPA (migration-data aggregator; exact parent institution not independently confirmed),2026,https://ppa.com.pk/pakistan-workforce-in-the-gulf-migration-data/,5,"DIRECTLY FETCHED and read. Secondary aggregator citing BEOE/SBP data; institutional identity/credibility of 'PPA' itself not independently verified beyond the site's own self-description."
S-25,"Snapshot: Remittance inflows to Pakistan Jan 2020 - May 2025",International Organization for Migration (IOM) - Displacement Tracking Matrix (DTM),2025,https://dtm.iom.int/dtm_download_track/82681,3,"Returned HTTP 403 on direct fetch - could not be opened at all, not even a WebSearch summary. Listed here as a source identified but not consulted."
S-26,"Rural Healthcare In Pakistan: Rising Risks, Limited Access, And Hidden Harm",The Friday Times,2025-10-25,https://www.thefridaytimes.com/25-Oct-2025/rural-healthcare-pakistan-rising-risks-limited-access-hidden-harm,5,"Seen via WebSearch summary only. Source of rural doctor-ratio and PMC-attributed figures."
S-27,"Rural Healthcare Disparities in Pakistan / Rural Healthcare Challenges in Pakistan",The Agricultural Economist,2025,https://agrieconomist.com/rural-healthcare-disparities-in-pakistan,5,"Seen via WebSearch summary only."
S-28,"Pakistan's health spending below 1% of GDP, reveals Economic Survey 2024-25",The Express Tribune,2025,https://tribune.com.pk/story/2550010/pakistans-health-spending-below-1-of-gdp-reveals-economic-survey-202425,4,"Seen via WebSearch summary only. Source of the 319,000-registered-doctors figure, attributed to the Economic Survey 2024-25 (not itself directly accessed)."
S-29,"Pakistan is the Second Biggest Source of Foreign Doctors in US and UK","riazhaq.com (personal blog), citing OECD data",2023-04,http://www.riazhaq.com/2023/04/pakistan-is-second-biggest-source-of.html,5,"DIRECTLY FETCHED and read. A personal blog, not an institutional source, but the underlying figures are attributed to OECD (2016 data). Used only for historical/cumulative-stock context, clearly dated."
S-30,"MBBS Fee Structure Pakistan: Public vs Private College Costs 2026 / MBBS Fee Structure 2026",Parhlai / ilmkidunya / PakLearningSpot (fee-aggregator sites),2026,https://parhlai.com/blog/mbbs-fee-structure-pakistan,5,"Seen via WebSearch summary only. Student-facing fee data, not government per-seat expenditure - see brief's caveat on the $25,000 figure."
S-31,"Merit of Medical Colleges in Pakistan - Latest MBBS Cutoffs & Trends for 2026",Maqsad Blog,2026,https://blog.maqsad.io/blog/merit-of-medical-colleges-in-pakistan,5,"Seen via WebSearch summary only. Source of the ~4,800 public-sector MBBS seat count and provincial breakdown."
