source_id,title,institution,pub_date,url,tier,notes
S-01,"IMF to review new auto policy as Pakistan targets tariff cuts to 6% by 2030",Profit by Pakistan Today,2026-04-22,https://profit.pakistantoday.com.pk/2026/04/22/imf-to-review-new-auto-policy-as-pakistan-targets-tariff-cuts-to-6-by-2030/,4,"Tier-1 Pakistan business journalism. Draft tariff-schedule figures."
S-02,"Pakistan Auto Policy 2026-31: Low Tariffs, EVs and Buyer Power",PakWheels Blog,2026,https://www.pakwheels.com/blog/pakistan-auto-policy-2026-31-tariffs-evs-imports/,4,"Trade/industry press specializing in Pakistan's auto sector; useful for policy-mechanics detail, treat figures as REPORTED not primary."
S-03,"Auto policy draft: PAAPAM voices concerns",Business Recorder,2026,https://www.brecorder.com/news/40418035/auto-policy-draft-paapam-voices-concerns,4,"Tier-1 Pakistan business journalism."
S-04,"Auto industry warns of deindustrialisation risk, seeks PM's intervention for tariff protection, policy clarity",Profit by Pakistan Today,2026-08-05,https://profit.pakistantoday.com.pk/2026/08/05/auto-industry-warns-of-deindustrialisation-risk-seeks-pms-intervention-for-tariff-protection-policy-clarity,4,"Source for PAAPAM's employment/livelihood claim (C-08)."
S-05,"Auto policy without localisation meaningless: PAAPAM",Business Recorder,2026,https://www.brecorder.com/news/40423500/auto-policy-without-localisation-meaningless-paapam,4,"Source for PAAPAM's tariff/protection demands (C-06) and 34% cost-disadvantage claim (C-07)."
S-06,"Pakistan Scraps New EV Policy, Hybrid Car Prices Jump by Over Rs 1.3 Million",Pakbiz,2026-08-03,https://pakbiz.com/pakistan-scraps-new-ev-policy/,4,"Key source for the policy shelving event (C-09, C-10) and the hybrid-GST/price link."
S-07,"Govt Restarts Auto Policy Process After Carmakers Force Withdrawal of EV Draft",TechJuice,2026,https://www.techjuice.pk/govt-restarts-auto-policy-process-after-carmakers-force-withdrawal-of-ev-draft/,4,"Independent corroboration of the shelving event (C-09) alongside S-06."
S-08,"Ishaq Dar Led Committee Gives In-Principle Approval to New Auto Policy",ProPakistani,2026-08-13,https://propakistani.pk/2026/08/13/ishaq-dar-led-committee-gives-in-principle-approval-to-new-auto-policy/,4,"Most recent status found (C-11) - policy still not finalized/gazetted as of this report."
S-09,"Ishaq Dar-Led Committee Approves New Auto Policy in Principle",Bloom Pakistan,2026,https://bloompakistan.com/ishaq-dar-led-committee-approves-new-auto-policy-in-principle/,4,"Corroborates S-08."
S-10,"Pakistan's auto policy nears final approval, but tariff cuts remain biggest sticking point: report",Profit by Pakistan Today,2026-08-07,https://profit.pakistantoday.com.pk/2026/08/07/pakistans-auto-policy-nears-final-approval-but-tariff-cuts-remain-biggest-sticking-point,4,"Source for the Industries-vs-Commerce tariff dispute (C-12) and IMF's rejection of the 1% NEV sales-tax proposal (C-13)."
S-11,"Pakistan Likely to Extend Old Auto Policy After Talks With IMF Fail",ProPakistani,2026-07-14,https://propakistani.pk/2026/07/14/pakistan-likely-to-extend-existing-auto-policy-after-talks-with-imf-fail/,4,"Timeline context - mid-2026 gridlock before the August shelving/revival sequence."
S-12,"GST hike pushes up hybrid vehicle prices",Dawn Business,2026,https://www.dawn.com/news/2014767,4,"Tier-1 Pakistan business journalism. Primary reference for the 25% GST reversion (C-14)."
S-13,"Hybrid vehicles face 25% sales tax from July 1",Profit by Pakistan Today,2026-07-07,https://profit.pakistantoday.com.pk/2026/07/07/hybrid-vehicles-are-now-subject-to-25percent-sales-tax,4,"Corroborates C-14 and C-16 (assemblers halting invoicing)."
S-14,"Hybrid Car Prices Increase by Up to Rs. 1.37 Million in Pakistan",Bloom Pakistan,2026,https://bloompakistan.com/hybrid-car-prices-increase-by-up-to-rs-1-37-million-in-pakistan/,4,"Specific manufacturer price-list figures (C-15)."
S-15,"Pakistan's first homegrown EV to hit roads this summer under Rs1mn price, EDB chief says",Business Recorder,2026,https://www.brecorder.com/news/40410425/pakistans-first-homegrown-ev-to-hit-roads-this-summer-under-rs1mn-price-edb-chief-says,4,"Source for the PAVE program EV price claim (C-22); note the summer 2026 target window appears to have passed without confirmed launch."
