claim_id,claim_text,classification,source_institution,url,data_period,verified,notes
C-01,"762,499 Pakistanis registered for overseas employment in 2025, up from 727,381 in 2024",REPORTED,"Bureau of Emigration & Overseas Employment (BEOE), via Pakistan Observer/Minute Mirror",https://pakobserver.net/over-762000-pakistanis-go-abroad-for-jobs-in-2025-shows-latest-migration-report/,2024-2025,no,"BEOE's own site (beoe.gov.pk) returned 403 on direct fetch; relying on secondary reporting of the BEOE release."
C-02,"2025 occupational breakdown of emigrants: 3,795 doctors; 5,946 engineers; 5,659 accountants; 1,640 nurses; 1,725 teachers; 163,718 drivers",REPORTED,"BEOE, via TechJuice/Minute Mirror",https://www.techjuice.pk/317000-pakistanis-overseas-jobs-h1-2026-doctors-engineers-it-exodus/,2025,no,"Same BEOE-data lineage as C-01; primary BEOE source not directly accessed."
C-03,"2024 occupational breakdown: 3,642 doctors; 8,018 engineers emigrated",REPORTED,"BEOE, via TechJuice/Minute Mirror",https://www.techjuice.pk/317000-pakistanis-overseas-jobs-h1-2026-doctors-engineers-it-exodus/,2024,no,"Same caveat as C-02."
C-04,"Combined 2024-2025: nearly 5,000 doctors, 11,000 engineers, and more than 13,000 accountants left Pakistan",REPORTED,"BEOE, via Tribune India / ThePrint / NewsKarnataka",https://www.tribuneindia.com/news/pakistan/5000-doctors-11000-engineers-left-pakistan-in-2-years-undercutting-asim-munirs-brain-gain-claim/,2024-2025,no,"Widely repeated across outlets, all ultimately citing the same BEOE release; figure is internally consistent with C-02+C-03 summed."
C-05,"Nurse emigration rose from 315 in 2013 to 4,880 in 2023",VERIFIED,"Gulf Research Center / Konrad-Adenauer-Stiftung policy brief (Shah & Qazi, 2025), citing BEOE data",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,2013 vs 2023,yes,"Directly read the full PDF. Marked VERIFIED for 'this academic policy brief states this figure' - underlying BEOE administrative data itself not independently opened."
C-06,"A separate claim states nurse emigration rose 2,144% between 2011 and 2024",UNRESOLVED,"WebSearch AI summary of unspecified secondary source",N/A,2011-2024,no,"Does not arithmetically reconcile with C-05 (315-to-4,880 implies ~1,450% over a different decade). Do not use this figure; use C-05 instead, which was directly verified by reading the source PDF."
C-07,"Nurse-patient ratio in Pakistani general hospital wards is about 1:40, vs. Pakistan Nursing Council recommendation of 3:10",REPORTED,"Gulf Research Center/KAS policy brief (2025), citing Hassan 2023 (Punjab Healthcare Commission)",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,2023,yes,"Directly read; original Hassan 2023 source not independently opened, hence REPORTED not VERIFIED."
C-08,"In 2023, ~862,000 people registered for overseas work; ~96% went to the Gulf (Saudi Arabia 49.5%, UAE 26.7%, Qatar 6.4%); more than half were unskilled/semi-skilled",VERIFIED,"Gulf Research Center/KAS policy brief (2025), citing BEOE",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,2023,yes,"Directly read the full PDF."
C-09,"Highly skilled/qualified workers have remained below 10% of all Pakistani registered migrant workers for the last five decades",VERIFIED,"Gulf Research Center/KAS policy brief (2025), citing BEOE",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,~1970s-2023,yes,"Directly read the full PDF."
C-10,"As a % of the domestic stock of each profession, 2023 outflow was: doctors ~1%, pharmacists ~0.3%, nurses ~4.4%, engineers ~3.4%",VERIFIED,"Gulf Research Center/KAS policy brief (2025), citing BEOE",https://gulfmigration.grc.net/wp-content/uploads/2025/03/GRC-GLMM-RPG-KAS-Highly-Skilled-Migration-Pakistan-PB-No-15-2025-2025-03-04.pdf,2023,yes,"Directly read the full PDF."
C-11,"2024 skill-level breakdown of registered emigrants: unskilled 366,092; skilled 255,706; semi-skilled 56,562; highly skilled 29,434; highly qualified 19,587",REPORTED,"PPA migration-data summary, citing BEOE/SBP",https://ppa.com.pk/pakistan-workforce-in-the-gulf-migration-data/,2024,no,"Secondary aggregator site, not BEOE itself; total (~727,381) matches C-01's 2024 figure, which is a good internal consistency check."
C-12,"Cumulative Gulf labour migration 1971-mid2026 exceeds 15.1 million registered workers; Saudi Arabia alone ~7.87 million (52%)",REPORTED,"PPA migration-data summary, citing BEOE",https://ppa.com.pk/pakistan-workforce-in-the-gulf-migration-data/,1971-2026,no,"Secondary aggregator; directly fetched and read, but source institution's own primary status unclear."
