claim_id,claim_text,classification,source_institution,url,data_period,verified,notes
C-01,"Pakistan's previous auto policy (AIDEP 2021-26) expired on June 30 2026",VERIFIED,"Multiple consistent trade press (ProPakistani/Business Recorder/PakWheels)",multiple,June 2026,yes,"Consistent factual/dated event across independent outlets."
C-02,"Draft Auto Policy 2026-31 targets reducing the weighted-average vehicle import tariff from 10.6% to 7.4% by 2030, with a broader net weighted-average target closer to 6% by decade's end",REPORTED,"Profit by Pakistan Today",https://profit.pakistantoday.com.pk/2026/04/22/imf-to-review-new-auto-policy-as-pakistan-targets-tariff-cuts-to-6-by-2030/,2026 draft,no,"[VERIFY] Draft-stage figure, not a finalized/gazetted policy. Subject to change per ongoing Industries-Commerce dispute (see C-12)."
C-03,"Draft tariff structure simplifies duty into four slabs (0%, 5%, 10%, 15%), with CBU imports capped at 15% by 2031",REPORTED,"PakWheels Blog / trade press",multiple,2026 draft,no,"[VERIFY] Draft-stage; the 15% cap is disputed by PAAPAM (see C-06)."
C-04,"Draft localization targets: 85% domestic value addition for two-wheelers/light vehicles by 2030; 80-90% local content for small cars by 2031",REPORTED,"PakWheels Blog / trade press",multiple,2026 draft,no,"[VERIFY] Draft-stage, unconfirmed against final policy text."
C-05,"New-energy-vehicle-specific parts would receive a 1% customs duty for the first three years (2026-2029), rising to 5% in year four",REPORTED,"PakWheels Blog / trade press",multiple,2026 draft,no,"[VERIFY] Draft-stage. Note: this specific provision implies roughly a 4-year protection window for NEV parts, not the 5 years assumed in the original angle framing - reconcile before scripting."
C-06,"PAAPAM has demanded customs duties of 50-60% on CBU imports and a minimum of 45% protection on localized components",VERIFIED,"Business Recorder",https://www.brecorder.com/news/40423500/auto-policy-without-localisation-meaningless-paapam,August 2026,yes,"Direct quoted/reported industry-association position; the position itself (not its merits) is confirmed."
C-07,"PAAPAM states Pakistan's auto-parts industry carries a 34% cost disadvantage against regional rivals, due to 100% import-dependence on raw materials (auto-grade steel, plastic resin, rubber) plus high energy tariffs, taxes, and borrowing costs",REPORTED,"PAAPAM, via Business Recorder / trade press",multiple,2026,no,"This is PAAPAM's own advocacy claim, not an independently audited cost study. Treat as REPORTED/attributed, not a neutral fact - script must attribute it explicitly to PAAPAM."
C-08,"PAAPAM states the auto/parts ecosystem supports over 1 million livelihoods: 300,000+ workers directly employed in manufacturing plus 700,000 in allied services",REPORTED,"PAAPAM, via Profit by Pakistan Today",https://profit.pakistantoday.com.pk/2026/08/05/auto-industry-warns-of-deindustrialisation-risk-seeks-pms-intervention-for-tariff-protection-policy-clarity,August 2026,no,"[VERIFY] PAAPAM's own estimate; no independent labour-survey figure found to cross-check."
C-09,"The government shelved/withdrew the draft Auto Policy 2026-31 around August 3 2026 after objections it favoured pure EVs so heavily it risked turning Pakistan into an assembly point for imported EV kits",REPORTED,"Pakbiz / TechJuice (two independent outlets corroborate)",https://pakbiz.com/pakistan-scraps-new-ev-policy/,August 2026,no,"Two independent secondary sources corroborate the same event, raising confidence, but no official government statement or document was directly accessed - [VERIFY] against an official MoIP notice if one exists."
C-10,"Prime Minister Shehbaz Sharif tasked a committee led by Deputy PM/Finance Minister Ishaq Dar with producing a revised, more balanced auto policy",REPORTED,"Pakbiz / trade press",multiple,August 2026,no,"[VERIFY] against an official notification of the committee's formation."
C-11,"On August 13 2026, the Ishaq Dar-led committee gave 'in-principle approval' to a new draft, which still requires Ministry of Industries incorporation before submission to the federal cabinet",REPORTED,"ProPakistani / Bloom Pakistan",https://propakistani.pk/2026/08/13/ishaq-dar-led-committee-gives-in-principle-approval-to-new-auto-policy/,August 2026,no,"As of the research date the policy had NOT been finalized or gazetted - still in committee-to-cabinet pipeline."
C-12,"As of early-to-mid August 2026, tariff levels remain the single biggest unresolved dispute between the Ministry of Industries (considering a 74% tariff cut paired with an 82% federal excise duty to preserve effective protection) and the Ministry of Commerce (holding firm on the National Tariff Policy's 15% cap by 2030)",REPORTED,"PakWheels Blog, citing officials",multiple,August 2026,no,"[VERIFY] against a primary inter-ministerial document if one becomes available."
C-13,"The IMF rejected Pakistan's proposed 1% sales-tax carve-out for NEVs in the draft policy, insisting on the standard 18% GST rate instead",REPORTED,"PakWheels Blog / trade press",multiple,2026,no,"[VERIFY] Secondary reporting on the IMF's position; the actual IMF correspondence/staff report was not directly accessed."
C-14,"Following the June 30 2026 policy expiry, hybrid vehicles (HEVs/PHEVs) automatically reverted from preferential GST rates (8.5% up to 1800cc, 12.75% above) to the standard 25% GST rate effective July 1 2026 under the FY27 budget",VERIFIED,"Dawn Business / ProPakistani / Profit by Pakistan Today (consistent across multiple outlets)",https://www.dawn.com/news/2014767,July 2026 (FY27 budget),yes,"Consistent, specific, dated tax-rate figures across multiple independent outlets."
